execution_id,learning_rate,decay_strategy,optimizer,wd,network,epochs,training_acc,val_acc
0,0.005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.6136363636363636,0.5027272727272727
1,0.005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6079545454545454,0.5561363636363637
2,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.6875,0.6595454545454545
3,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6761363636363636,0.6325
4,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.6363636363636364,0.6329545454545454
5,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6306818181818182,0.6804545454545454
6,0.005,"[40, 80, 100, 300]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.7386363636363636,0.5904545454545455
7,0.005,"[40, 80, 100, 300]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.7329545454545454,0.4479545454545454
8,0.001,"[40, 80, 100, 300]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.8920454545454546,0.5231818181818182
9,0.001,"[40, 80, 100, 300]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8125,0.6020454545454546
10,0.0005,"[40, 80, 100, 300]",sgd,0.01,slowfast_4x16_resnet50_kinetics400,100,0.8125,0.5990909090909091
11,0.0005,"[40, 80, 100, 300]",sgd,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8352272727272727,0.6575
12,0.005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",adam,0.01,slowfast_4x16_resnet50_kinetics400,100,0.5170454545454546,0.4988636363636363
13,0.005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",adam,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6022727272727273,0.553409090909091
14,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",adam,0.01,slowfast_4x16_resnet50_kinetics400,100,0.6647727272727273,0.5406818181818182
15,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",adam,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.75,0.6065909090909091
16,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",adam,0.01,slowfast_4x16_resnet50_kinetics400,100,0.7215909090909091,0.47
17,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",adam,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.7727272727272727,0.6359090909090909
18,0.005,"[40, 80, 100, 300]",adam,0.01,slowfast_4x16_resnet50_kinetics400,100,0.5227272727272727,0.5006818181818182
19,0.005,"[40, 80, 100, 300]",adam,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8806818181818182,0.5363636363636364
20,0.001,"[40, 80, 100, 300]",adam,0.01,slowfast_4x16_resnet50_kinetics400,100,0.5227272727272727,0.5034090909090909
21,0.001,"[40, 80, 100, 300]",adam,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8579545454545454,0.4775
22,0.0005,"[40, 80, 100, 300]",adam,0.01,slowfast_4x16_resnet50_kinetics400,100,0.7045454545454546,0.5618181818181818
23,0.0005,"[40, 80, 100, 300]",adam,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.8977272727272727,0.4611363636363636
24,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",rmsprop,0.01,slowfast_4x16_resnet50_kinetics400,100,0.625,0.5681818181818182
25,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",rmsprop,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.7329545454545454,0.6293181818181818
26,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",rmsprop,0.01,slowfast_4x16_resnet50_kinetics400,100,0.7215909090909091,0.5672727272727273
27,0.0005,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",rmsprop,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.7954545454545454,0.5081818181818182
28,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,1e-06,slowfast_4x16_resnet50_kinetics400,100,0.6704545454545454,0.5979545454545454
29,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.0,slowfast_4x16_resnet50_kinetics400,100,0.7613636363636364,0.644090909090909
